timestamp,station,pump,sequence_position,pump_status,operating_state,station_pressure_psi,station_flow_pct,pump_load_pct,running_hours_total,start_count_total,elmot_de_h_mm_s,elmot_de_v_mm_s,elmot_de_a_mm_s,elmot_nde_h_mm_s,elmot_nde_v_mm_s,elmot_nde_a_mm_s,pump_de_h_mm_s,pump_de_v_mm_s,pump_de_a_mm_s,pump_nde_h_mm_s,pump_nde_v_mm_s,pump_nde_a_mm_s,vibration_max_mm_s,temp_elmot_de_c,temp_elmot_nde_c,temp_pump_de_c,temp_pump_nde_c,temp_max_c,health_label,failure_mode,event_id,hours_to_failure,data_source,notes
2025-08-01 00:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,72.12,43.56,65.5,923.6,250,0.458,0.426,0.403,0.45,0.427,0.45,0.551,0.48,0.437,0.555,0.435,0.539,0.555,48.4,39.1,53.6,62.3,62.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 00:00:00,Batang Station,B,2,OFF,OFF,72.12,43.56,0,1037.6,192,0.051,0.048,0.051,0.047,0.031,0.034,0.056,0.028,0.056,0.044,0.032,0.026,0.056,30.8,30.6,30.7,29.9,30.8,HEALTHY,,,,SYNTHETIC,
2025-08-01 00:00:00,Batang Station,C,3,OFF,OFF,72.12,43.56,0,1516.4,311,0.059,0.036,0.049,0.04,0.042,0.049,0.04,0.052,0.036,0.051,0.041,0.04,0.059,30.0,29.6,29.7,29.8,30.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 00:00:00,Batang Station,D,4,OFF,OFF,72.12,43.56,0,1087.2,317,0.032,0.023,0.016,0.033,0.031,0.044,0.044,0.035,0.054,0.044,0.039,0.031,0.054,31.4,32.0,31.7,31.0,32.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 01:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,74.78,45.03,56.89,924.6,250,0.443,0.496,0.428,0.339,0.456,0.413,0.5,0.403,0.468,0.484,0.435,0.577,0.577,47.4,37.8,53.9,65.6,65.6,HEALTHY,,,,SYNTHETIC,
2025-08-01 01:00:00,Batang Station,B,2,OFF,OFF,74.78,45.03,0,1037.6,192,0.02,0.046,0.048,0.043,0.042,0.033,0.044,0.047,0.028,0.036,0.035,0.027,0.048,29.7,30.1,29.2,30.1,30.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 01:00:00,Batang Station,C,3,OFF,OFF,74.78,45.03,0,1516.4,311,0.026,0.034,0.034,0.056,0.049,0.035,0.038,0.045,0.038,0.043,0.072,0.043,0.072,30.5,30.0,29.4,29.1,30.5,HEALTHY,,,,SYNTHETIC,
2025-08-01 01:00:00,Batang Station,D,4,OFF,OFF,74.78,45.03,0,1087.2,317,0.039,0.048,0.051,0.055,0.037,0.044,0.049,0.028,0.05,0.041,0.051,0.058,0.058,29.2,29.0,30.2,30.3,30.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 02:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,78.71,51.64,64.31,925.6,250,0.462,0.424,0.429,0.413,0.393,0.415,0.562,0.46,0.434,0.583,0.433,0.476,0.583,46.0,42.3,54.6,64.1,64.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 02:00:00,Batang Station,B,2,OFF,OFF,78.71,51.64,0,1037.6,192,0.04,0.048,0.043,0.05,0.026,0.04,0.02,0.044,0.042,0.052,0.052,0.04,0.052,30.1,29.6,30.6,29.8,30.6,HEALTHY,,,,SYNTHETIC,
